(214, 225, 231)
(212, 223, 229)
(225, 232, 238)
(229, 232, 225)
(228, 231, 224)
(227, 230, 223)
(230, 233, 226)
(231, 232, 224)
(247, 243, 232)
(248, 244, 233)
(246, 242, 231)
(231, 231, 221)
(245, 241, 230)
(254, 247, 237)
(253, 249, 238)
(252, 248, 237)
(255, 248, 238)
(253, 246, 236)
(0, 2, 1)
(1, 1, 1)
(73, 73, 63)
(63, 59, 50)
(74, 74, 64)
(5, 8, 15)
(4, 7, 14)
(6, 9, 16)
